Test Cases XYZ…,,,,,,,,,,,,,
,,TC-5.1.4-02,WebSocket - Multiple connections same user,Same user opens 2 tabs,,1. Join same auction from 2 connections,Both receive updates,Multiple connections supported,Test passed successfully. All assertions matched expected values.,Pass,[High Priority Test],Implemented,
,,TC-5.1.4-03,WebSocket - Leave room stops events,User leaves auction room,,"1. Leave room
2. New bid placed",User receives no notification,Room unsubscribe works,Test passed successfully. All assertions matched expected values.,Pass,[High Priority Test],Implemented,
,,TC-5.1.5-01,Large Payload - Big auction images array,Auctioneer authenticated,,1. Send POST /api/auctions with 100 image URLs,Returns 413 or 400,Payload size limited,,Not Started,,Not Implemented,
,,TC-5.1.5-02,Large Payload - Long description field,Auctioneer authenticated,,1. Send POST /api/auctions with 1MB description,Returns 400 or truncated,Field length limits,,Not Started,,Not Implemented,
,,TC-5.1.5-03,Large Payload - Many related auctions,Auctioneer authenticated,,1. Send PATCH /api/auctions/:id/relations with 1000 relatedIds,Returns 400 or limited,Reasonable limits enforced,,Implemented,,Not Implemented,
,,TC-5.1.6-01,Database Integrity - Cascade delete auction,Auction with bids; participants; costs,,1. Attempt DELETE /auctions/:id,Returns 400 Bad Request,Cannot delete with dependencies,,Implemented,Referential integrity,Not Implemented,
,,TC-5.1.6-02,Database Integrity - Orphan prevention,Delete user with registrations,,1. Delete user directly in DB,FK constraint prevents,Database constraints work,,Not Started,,Not Implemented,
,,TC-5.1.6-03,Database Integrity - Unique constraint,Create duplicate email,,1. Register with existing email,Returns 409 Conflict,@unique constraint enforced,,Not Started,,Not Implemented,
,,TC-5.1.7-01,Performance - List 1000 auctions,1000 auctions exist,,1. Send GET /api/auctions?limit=1000,Returns 200 OK in < 2s,Pagination recommended for large lists,,Not Started,,Not Implemented,
,,TC-5.1.7-02,Performance - Auction with 500 bids,500 bids on one auction,,1. Send GET /api/auctions/:id,Returns 200 OK in < 1s,Include bid count; not all bids,,Not Started,,Not Implemented,
,,TC-5.1.7-03,Performance - WebSocket 100 users,100 users in auction room,,1. All receive newBid event,Updates in < 100ms,Socket.IO scales,,Not Started,,Not Implemented,
,,TC-5.1.8-01,Error Handling - Invalid JSON body,Malformed JSON,,1. Send POST /api/auth/register with invalid JSON,Returns 400 Bad Request,Parsing error handled,Test passed successfully. All assertions matched expected values.,Pass,,Implemented,
,,TC-5.1.8-02,Error Handling - Empty body,Missing body,,1. Send POST /api/auth/register with no body,Returns 400 Bad Request,Validation error,Test passed successfully. All assertions matched expected values.,Pass,,Implemented,
,,TC-5.1.8-03,Error Handling - Database connection lost,Simulate DB failure,,1. Send any request with DB down,Returns 500 Internal Server Error,Graceful error message,,Implemented,,Not Implemented,
,,TC-5.1.8-04,Error Handling - Stripe API failure,Stripe unreachable,,1. Send POST /api/payments,Returns 502 or 500,External service failure handled,,Not Started,,Not Implemented,
,,TC-5.1.9-01,Audit Trail - Finalization logged,Auction finalized,,"1. Finalize auction
2. Check audit logs",AuctionAuditLog created,action: FINALIZE,,Not Started,,Not Implemented,
,,TC-5.1.9-02,Audit Trail - Override logged,Status overridden,,"1. Override auction
2. Check audit logs",AuctionAuditLog created,action: OVERRIDE; reason stored,,Not Started,,Not Implemented,
,,TC-5.1.9-03,Audit Trail - Bid created logged,New bid placed,,"1. Place bid
2. Check bid record",AuctionBid.bidAt timestamp,Bid timing recorded,,Not Started,,Not Implemented,
,5.2 Integration,TC-5.2.1-01,End-to-End - Complete auction flow,User registered; Auction scheduled,,"1. Register for auction
2. Submit documents
3. Pay deposit 4. Get approved 5. Check-in 6. Place bids 7. Win 8. Pay winning amount",Success at each step,Full flow from registration to payment,,Not Started,,Not Implemented,
,,TC-5.2.1-02,End-to-End - Failed auction flow,Auction with no participants,,"1. Create auction
2. Wait for end
3. Finalize",Auction status: failed,No winner; auction marked failed,,Not Started,,Not Implemented,
,,TC-5.2.1-03,End-to-End - Losing bidder flow,Multiple bidders; User loses,,"1. Register
2. Approve
3. Check-in 4. Bid 5. Outbid 6. Auction ends",Deposit returned; loser email sent,Loss handled correctly,,Not Started,,Not Implemented,
,,TC-5.2.2-01,Multi-user - Different roles same auction,Admin; Auctioneer; 3 Bidders,,1. All interact with same auction,Each role has correct permissions,Role isolation works,,Not Started,,Not Implemented,
,,TC-5.2.2-02,Handle many concurrent bidders,5 bidders in live auction,,1. All bid rapidly in sequence,Each bid processed correctly,No lost or duplicate bids,Test passed successfully. All assertions matched expected values.,Pass,,Implemented,
,,TC-5.2.3-01,State Transition - Scheduled to Live,Auction with auctionStartAt reached,,"1. Wait for auctionStartAt
2. Check status",Status becomes live,Automatic or triggered transition,Test passed successfully. All assertions matched expected values.,Pass,[High Priority Test],Implemented,
,,TC-5.2.3-02,State Transition - Live to Ended,Auction with auctionEndAt reached,,"1. Wait for auctionEndAt
2. Check status",Bidding blocked,End time respected,Test passed successfully. All assertions matched expected values.,Pass,[High Priority Test],Implemented,
,,TC-5.2.3-03,Cannot transition backwards (success → live),Auction status: success,,1. Attempt transition to live,Status remains success,State machine prevents backward transition,"Expected value: 200 | Received array: [400, 403]",Fail,,Implemented,
,,TC-5.2.3-04,Cancelled is terminal state,Auction status: cancelled,,1. Attempt transition to scheduled/live,Status remains cancelled,Terminal state cannot be changed,"Expected value: 200 | Received array: [400, 403]",Fail,,Implemented,
,5.3 Edge Cases,TC-5.3.1-01,Unicode - Vietnamese in all fields,User with Vietnamese name,,1. Register with Vietnamese diacritics (Nguyễn Văn Ạ),Returns 201 Created,Full Unicode support,,Not Started,,Not Implemented,
,,TC-5.3.1-02,Unicode - Auction name special chars,Auctioneer authenticated,,1. Create auction with: 'Đất nền 100m² - Phú Nhuận',Returns 201 Created,Vietnamese in auction name,,Not Started,,Not Implemented,
,,TC-5.3.2-01,Timezone - Auction times stored as UTC,Auctioneer in GMT+7,,"1. Create auction with local time
2. Retrieve auction",Dates in UTC or consistent timezone,Timezone handling correct,,Not Started,,Not Implemented,
,,TC-5.3.2-02,Timezone - Check-in window calculation,Different user timezones,,1. Check-in from different timezone clients,Server time used for validation,Client timezone doesn't affect logic,,Not Started,,Not Implemented,
,,TC-5.3.3-01,Precision - Large bid amounts,Amount: 999999999999,,1. Place bid with very large VND amount,Returns 201 Created,Prisma Decimal handles large amounts,,Not Started,,Not Implemented,
,,TC-5.3.3-02,Precision - Decimal bid amounts,Amount: 1000000000.50,,1. Place bid with decimal,Returns 201 Created or 400,maxDecimalPlaces: 2 in DTO,,Not Started,,Not Implemented,
,,TC-5.3.4-01,Cannot set id during registration,Bidder authenticated,,1. Register with full_name: '',Returns 400 Bad Request,@IsNotEmpty() validation,Test passed successfully. All assertions matched expected values.,Pass,,Implemented,
,,TC-5.3.4-02,Whitespace Only - Input fields,No preconditions,,1. Register with full_name: '   ',Returns 400 Bad Request,Trimmed and validated,,Not Started,,Not Implemented,
,,TC-5.3.5-01,Handle empty optional fields,Bidder authenticated,,1. Register with phone_number: null,Returns 201 Created,Optional fields accept null,Test passed successfully. All assertions matched expected values.,Pass,,Implemented,
,,TC-5.3.5-02,Undefined Values - Request body,No preconditions,,1. Register without optional fields entirely,Returns 201 Created,Missing optional fields OK,,Not Started,,Not Implemented,
,,TC-5.3.6-01,Special Characters - Search query,Auctions exist,,1. GET /auctions?search=%20%26%3D,Returns 200 OK,URL encoding handled,,Not Started,,Not Implemented,
,,TC-5.3.6-02,Special Characters - Auction code,Auctioneer authenticated,,1. Create auction with code containing special chars,Returns 400 or 201,Code format validation,,Not Started,,Not Implemented,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
