No,Req ID,Req Desc,TC ID,TC Desc,Test Design,Test Designer,UAT Test Req?,Test Execution,Defects?,Defect ID,Defect Status,Req Coverage Status
37,3.5.7,Receive Time Updates (Actor: Bidder),"TC-3.5.7-01, TC-3.5.7-02","Verify receive time updates every second; stop at auction end",Complete,QA Team,Yes,Pending,,,No,Covered
38,3.5.8,Receive Bid Denied Notification (Actor: Bidder),"TC-3.5.8-01, TC-3.5.8-02","Verify receive bid denied notification; other bidders see updated state",Complete,QA Team,Yes,Pending,,,No,Covered
39,3.5.9,Receive Auction Update (Actor: Bidder),"TC-3.5.9-01, TC-3.5.9-02","Verify receive auction update on status change/admin override",Complete,QA Team,Yes,Pending,,,No,Covered
40,3.6.1,Evaluate Auction (Actor: Admin; Auctioneer),"TC-3.6.1-01, TC-3.6.1-02","Verify evaluate auction after end; fail when still live",Complete,QA Team,Yes,Pending,,,No,Covered
41,3.6.2,Finalize Auction (Actor: Admin; Auctioneer),"TC-3.6.2-01, TC-3.6.2-02, TC-3.6.2-03","Verify finalize with winner/without bids/already finalized",Complete,QA Team,Yes,Pending,,,No,Covered
42,3.6.3,Override Auction Status (Actor: Admin; Super Admin),"TC-3.6.3-01, TC-3.6.3-02","Verify Super Admin override; Admin restriction",Complete,QA Team,Yes,Pending,,,No,Covered
43,3.6.4,Get Auction Results (Actor: All Participants),"TC-3.6.4-01, TC-3.6.4-02","Verify get results as participant/non-participant",Complete,QA Team,Yes,Pending,,,No,Covered
44,3.6.5,Get Audit Logs (Actor: Admin; Auctioneer),"TC-3.6.5-01, TC-3.6.5-02","Verify Admin gets audit logs; Bidder restriction",Complete,QA Team,Yes,Pending,,,No,Covered
45,3.6.6,Get Winner Payment Requirements (Actor: Winner),"TC-3.6.6-01, TC-3.6.6-02","Verify winner gets payment requirements; non-winner restriction",Complete,QA Team,Yes,Pending,,,No,Covered
46,3.6.7,Initiate Winner Payment (Actor: Winner),"TC-3.6.7-01, TC-3.6.7-02","Verify winner initiates payment; fail for non-finalized auction",Complete,QA Team,Yes,Pending,,,No,Covered
47,3.6.8,Verify Winner Payment (Actor: Winner; Admin),"TC-3.6.8-01, TC-3.6.8-02","Verify winner payment verification success/invalid session",Complete,QA Team,Yes,Pending,,,No,Covered
48,3.7.1,Create Payment Session (Actor: Bidder; Winner),"TC-3.7.1-01, TC-3.7.1-02, TC-3.7.1-03","Verify create deposit/winning payment session; invalid type",Complete,QA Team,Yes,Pending,,,No,Covered
49,3.7.2,Verify Payment (Actor: Bidder; Winner),"TC-3.7.2-01, TC-3.7.2-02, TC-3.7.2-03","Verify payment after Stripe success/cancelled/invalid session",Complete,QA Team,Yes,Pending,,,No,Covered
50,3.8.1,Create Update Auction Costs (Actor: Admin; Auctioneer),"TC-3.8.1-01, TC-3.8.1-02, TC-3.8.1-03","Verify create/update auction costs; Bidder restriction",Complete,QA Team,Yes,Pending,,,No,Covered
51,3.8.2,Get Auction Costs (Actor: All Authenticated),"TC-3.8.2-01, TC-3.8.2-02","Verify get auction costs with/without existing costs",Complete,QA Team,Yes,Pending,,,No,Covered
52,3.8.3,Update Specific Cost Fields (Actor: Admin; Auctioneer),"TC-3.8.3-01, TC-3.8.3-02","Verify partial update of costs; negative cost validation",Complete,QA Team,Yes,Pending,,,No,Covered
53,3.8.4,Delete Auction Costs (Actor: Admin),"TC-3.8.4-01, TC-3.8.4-02","Verify Admin deletes costs; Auctioneer restriction",Complete,QA Team,Yes,Pending,,,No,Covered
54,3.8.5,Add Other Cost Item (Actor: Admin; Auctioneer),"TC-3.8.5-01, TC-3.8.5-02","Verify add other cost item with/without name",Complete,QA Team,Yes,Pending,,,No,Covered
55,3.9.1,Get All System Variables (Actor: Admin; Super Admin),"TC-3.9.1-01, TC-3.9.1-02","Verify get all system variables; Bidder restriction",Complete,QA Team,Yes,Pending,,,No,Covered
56,3.9.2,Get System Variable (Actor: Admin; Super Admin),"TC-3.9.2-01, TC-3.9.2-02","Verify get specific/non-existent system variable",Complete,QA Team,Yes,Pending,,,No,Covered
57,3.9.3,Update System Variable (Actor: Admin; Super Admin),"TC-3.9.3-01, TC-3.9.3-02","Verify update system variable success/wrong data type",Complete,QA Team,Yes,Pending,,,No,Covered
58,3.9.4,Create System Variable (Actor: Admin; Super Admin),"TC-3.9.4-01, TC-3.9.4-02","Verify create new/duplicate system variable",Complete,QA Team,Yes,Pending,,,No,Covered
59,3.9.5,Clear Cache (Actor: Admin; Super Admin),"TC-3.9.5-01, TC-3.9.5-02","Verify clear cache by Admin; Bidder restriction",Complete,QA Team,Yes,Pending,,,No,Covered
60,3.9.6,Get Cache Statistics (Actor: Admin; Super Admin),"TC-3.9.6-01, TC-3.9.6-02","Verify get cache statistics; Bidder restriction",Complete,QA Team,Yes,Pending,,,No,Covered
61,3.10.1,Get All Locations (Actor: All Public),"TC-3.10.1-01, TC-3.10.1-02","Verify get all locations publicly with hierarchy structure",Complete,QA Team,Yes,Pending,,,No,Covered
62,3.11.1,List All Articles (Actor: All Public),"TC-3.11.1-01, TC-3.11.1-02","Verify list all articles publicly with/without type filter",Complete,QA Team,Yes,Pending,,,No,Covered
63,3.11.2,Get Article Details (Actor: All Public),"TC-3.11.2-01, TC-3.11.2-02","Verify get article details by valid/non-existent ID",Complete,QA Team,Yes,Pending,,,No,Covered
64,3.11.3,Create Article (Actor: Admin),"TC-3.11.3-01, TC-3.11.3-02, TC-3.11.3-03","Verify Admin creates article; Bidder restriction; missing fields",Complete,QA Team,Yes,Pending,,,No,Covered
65,3.11.4,Update Article (Actor: Admin),"TC-3.11.4-01, TC-3.11.4-02","Verify update existing/non-existent article",Complete,QA Team,Yes,Pending,,,No,Covered
66,3.11.5,Update Article Relations (Actor: Admin),"TC-3.11.5-01, TC-3.11.5-02","Verify update article relations; self-reference restriction",Complete,QA Team,Yes,Pending,,,No,Covered
67,3.11.6,Delete Article (Actor: Admin),"TC-3.11.6-01, TC-3.11.6-02","Verify Admin deletes article; Auctioneer restriction",Complete,QA Team,Yes,Pending,,,No,Covered
